Date,SBIN,HDFCBANK,CANBK,YESBANK,BANKBARODA,ICICIBANK
2010-01-04,95.06689453125,132.50143432617188,322.7031555175781,34.45849609375,51.20698928833008,85.31997680664062
2010-01-05,95.10218048095703,132.61795043945312,328.3670959472656,34.96552276611328,52.68650817871094,86.13026428222656
2010-01-06,95.67269897460938,132.70729064941406,329.9850158691406,34.47133255004883,53.00921630859375,86.7895736694336
2010-01-07,95.13744354248047,133.05296325683594,332.6959533691406,33.887290954589844,53.32696533203125,85.97022247314453
2010-01-08,94.85321807861328,133.22772216796875,328.1242370605469,33.72684097290039,53.54045486450195,84.76253509521484
2010-01-11,94.07109832763672,132.69174194335938,328.9735412597656,34.349388122558594,54.25041961669922,84.3213882446289
2010-01-12,91.41561126708984,131.68576049804688,322.66326904296875,33.77176284790039,53.66953659057617,81.73636627197266
2010-01-13,90.28285217285156,131.22744750976562,319.5072937011719,33.70116424560547,53.41633224487305,81.5325927734375
2010-01-14,89.51319122314453,130.80020141601562,318.05157470703125,34.54193115234375,54.03692626953125,81.01409912109375
2010-01-15,88.93228912353516,131.60418701171875,311.6190490722656,34.28520584106445,53.525550842285156,81.70755004882812
2010-01-18,89.47376251220703,137.23609924316406,317.1207580566406,34.95268630981445,54.35468673706055,83.73460388183594
2010-01-19,90.16667938232422,138.2110137939453,320.3166198730469,36.45451354980469,55.10932540893555,83.94318389892578
2010-01-20,89.61691284179688,136.41656494140625,325.656982421875,35.06821060180664,55.859012603759766,85.15033721923828
2010-01-21,88.13356018066406,132.963623046875,320.5595703125,33.977142333984375,54.622779846191406,82.70134735107422
2010-01-22,86.60873413085938,130.27972412109375,315.7049560546875,33.27757263183594,54.34474182128906,81.53791809082031
2010-01-25,86.78507232666016,128.69500732421875,315.58349609375,31.551115036010742,52.974456787109375,80.57774353027344
2010-01-27,82.4719467163086,124.07295227050781,301.2219543457031,30.273923873901367,51.837520599365234,76.35829162597656
2010-01-28,83.11921691894531,123.76612854003906,301.707763671875,31.506189346313477,55.24834442138672,76.43138122558594
2010-01-29,85.33283233642578,126.7024917602539,315.86639404296875,31.993961334228516,57.14490509033203,80.53401184082031
2010-02-01,83.8660888671875,124.27108001708984,327.19427490234375,32.4881477355957,58.574771881103516,81.0626449584961
2010-02-02,82.08607482910156,122.66693115234375,326.7491760253906,31.236635208129883,56.539180755615234,79.43299102783203
2010-02-03,82.93458557128906,126.05770111083984,324.96905517578125,32.154415130615234,57.6115837097168,81.41629028320312
2010-02-04,80.8226318359375,125.5916519165039,318.4966125488281,31.153207778930664,56.57891082763672,80.38357543945312
2010-02-05,83.00514221191406,122.22027587890625,308.423095703125,30.71677589416504,55.58595275878906,77.41075134277344
2010-02-08,84.69996643066406,121.758056640625,314.4505310058594,30.607666015625,56.896663665771484,78.10902404785156
2010-02-09,85.3013687133789,122.08818817138672,313.4798278808594,30.530649185180664,56.4051399230957,78.7928695678711
2010-02-10,83.61966705322266,123.78944396972656,309.23248291015625,29.856760025024414,55.337711334228516,77.5707778930664
2010-02-11,83.87333679199219,124.13510131835938,311.4169006347656,30.472883224487305,55.39232635498047,80.11685180664062
2010-02-15,82.8826675415039,125.36245727539062,309.11102294921875,30.06855010986328,55.03485870361328,79.2729721069336
